sha256,bodmas_timestamp_utc,first_seen_utc,dept,owner,source,path,path_depth,extension,size_kb,is_executable,has_macro,is_signed,entropy_est,av_detections,sensitivity,duplicate_of_sha256,retention_days,is_old_file,label
67049f219dd734f2c9e50eec2e3fabbc0c05d5e1a0cb0a19d6b830e1a31319ae,,2024-05-15T05:21:56+00:00,Security,security_lawyer14,dev_repo,C:\\Users\\security\\Documents\\Q1_Reporting\\scan_final.csv,10,csv,5219,0,0,0,5.132,0,low,,90,0,benign
53447d76d8175fc39eb481269e594e14beb008344da3e98fde233b790ed6ae9f,,2025-11-05T07:21:23+00:00,R&D,r&d_intern49,cloud_sync,D:\\Work\\R&D\\Tender\\Misc\Temp\invoice_v1.png,10,png,2847,0,0,0,6.005,1,low,,90,0,benign
f0b32ba19255913bfac790b22e6ef72fe26672f4bfca1391ac3cf054284081a1,2019-09-20T11:47:49+00:00,2024-04-15T11:29:44+00:00,Security,security_assistant80,cloud_sync,D:\\Work\\Security\\Audit\\Temp\Scans\Archive\security_patch_draft.bat,11,bat,9303,1,0,0,6.908,19,low,,730,0,malware_other
e51db96d7cfabb93e36608633a0ef5243b810324507db15e4670731bc31a4000,2020-02-14T06:00:19+00:00,2025-05-04T13:51:56+00:00,Procurement,procurement_accountant107,dev_repo,C:\\Users\\procurement\\Documents\\ClientData\\Reports\Archive\Final\Drafts\driver_2025.xlsm,14,xlsm,1001,0,1,0,6.576,15,medium,,730,0,malware_upatre
a6055b5c0224d34b5ecd035a48d39615723e3c1a694185fb939ad4d1d9791e1d,2020-07-05T23:01:49+00:00,2025-11-11T14:17:40+00:00,R&D,r&d_analyst74,web_download,C:\\Users\\r&d\\Documents\\Q1_Reporting\\Scans\Temp\chrome_update_revA.ps1,12,ps1,6019,1,0,0,7.997,22,medium,,90,0,malware_other
bc384a479273e74561a22de5cc4414d41f47ca327122483749ad2a9f71d17759,,2025-05-16T14:06:14+00:00,Marketing,marketing_admin104,cloud_sync,\\\\fileserver\\Marketing\\Payroll\\plan_signed.csv,10,csv,2093,0,0,0,5.641,0,low,1810cd39671ad1af39f9126b8a97494c21be8b577b71b6063648ae6ce30d5b7c,180,0,duplicate
e6babe60cadc2276ea054835283cfcedfb3e23dc73a8fd19b9eaf5740e9a1d5a,,2024-06-24T22:00:24+00:00,Marketing,marketing_lawyer78,dev_repo,C:\\Users\\marketing\\Documents\\Q1_Reporting\\Temp\Drafts\plan_v1.json,12,json,795,0,0,0,5.854,1,low,,730,0,benign
219dd280962c6c98d1285f98f92060bca487637e635f6c2774a5036c16176954,2020-09-06T03:05:01+00:00,2024-12-09T03:58:04+00:00,Legal,legal_engineer3,cloud_sync,D:\\Work\\Legal\\Payroll\\Reports\Misc\Archive\installer_new.js,11,js,2907,1,0,0,7.16,13,low,,180,0,malware_other
0c412b26998a5429dbc589cbd9ef4872be91c9e00bdf87356db23f7d2cc2f86d,,2025-03-18T14:20:37+00:00,R&D,r&d_analyst91,internal_share,\\\\nas\\shares\\R&D\\Migration\\Scans\Scans\Final\Archive\scan_2025.docx,16,docx,3130,0,0,0,5.676,2,medium,,90,0,benign
70d242bcecb81c4608b71620fab418d40fafe6dce29a7b77532728f574ff8cec,2019-10-26T11:53:34+00:00,2024-09-26T16:11:09+00:00,Marketing,marketing_analyst20,web_download,\\\\nas\\shares\\Marketing\\Payroll\\Reports\Reports\Archive\Drafts\photos_new.js,16,js,2416,1,0,0,8.0,22,low,,30,0,malware_other
