path,path_length,depth,num_parts,num_hidden,has_hidden,name_length,extension,extension_length,is_tmp,suspicious_score,size,probability,prediction,dangerous_flag
C:\Users\Ayan Daurenbek\Downloads\(DQ) Инструкция по настройке MS Exchange + nxlog.docx,87,4,5,0,0,53,docx,4,0,0,3936197,0.845,1,0
C:\Users\Ayan Daurenbek\Downloads\1-тарау. Клиенттік деректерді қорғаудың теориялық негіздері.docx,98,4,5,0,0,64,docx,4,0,0,38511,0.86,1,0
C:\Users\Ayan Daurenbek\Downloads\1112.jpg,42,4,5,0,0,8,jpg,3,0,0,161104,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\14 лекция[1].pdf,50,4,5,0,0,16,pdf,3,0,0,1374512,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\18535110_17455147_2507251734-de_dust2.dem,75,4,5,0,0,41,dem,3,0,0,274924756,0.74,1,1
C:\Users\Ayan Daurenbek\Downloads\2014_grishchenko_kolbity.pdf,62,4,5,0,0,28,pdf,3,0,0,348198,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-21-data_export.csv (1).zip,68,4,5,0,0,34,zip,3,0,0,1275,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-21-data_export.csv (2).zip,68,4,5,0,0,34,zip,3,0,0,1145,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-21-data_export.csv (3).zip,68,4,5,0,0,34,zip,3,0,0,1126,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-21-data_export.csv.zip,64,4,5,0,0,30,zip,3,0,0,1270,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-24-data_export.csv (1).zip,68,4,5,0,0,34,zip,3,0,0,1289,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-24-data_export.csv (2).zip,68,4,5,0,0,34,zip,3,0,0,1289,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-24-data_export.csv (3).zip,68,4,5,0,0,34,zip,3,0,0,1261,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-24-data_export.csv (4).zip,68,4,5,0,0,34,zip,3,0,0,1309,0.78,1,0
C:\Users\Ayan Daurenbek\Downloads\2025-07-24-data_export.csv.zip,64,4,5,0,0,30,zip,3,0,0,1302,0.8,1,0
C:\Users\Ayan Daurenbek\Downloads\2025ibatyrwaf2_15руководство_администратора.pdf,81,4,5,0,0,47,pdf,3,0,0,3393523,0.83,1,0
C:\Users\Ayan Daurenbek\Downloads\2025iBatyrWAF2_15Руководство_оператора_compressed.pdf,87,4,5,0,0,53,pdf,3,0,0,6188333,0.82,1,0
C:\Users\Ayan Daurenbek\Downloads\21365.rar,43,4,5,0,0,9,rar,3,0,0,9030336,0.77,1,0
C:\Users\Ayan Daurenbek\Downloads\22213_(2).png,47,4,5,0,0,13,png,3,0,0,17946,0.75,1,0
C:\Users\Ayan Daurenbek\Downloads\22220.png,43,4,5,0,0,9,png,3,0,0,18314,0.7,1,0
C:\Users\Ayan Daurenbek\Downloads\2[2]-68-72 (1).pdf,52,4,5,0,0,18,pdf,3,0,0,182738,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\2[2]-68-72 (2).pdf,52,4,5,0,0,18,pdf,3,0,0,204007,0.755,1,0
C:\Users\Ayan Daurenbek\Downloads\2[2]-68-72.pdf,48,4,5,0,0,14,pdf,3,0,0,70374,0.765,1,0
C:\Users\Ayan Daurenbek\Downloads\5 глава рус.docx,50,4,5,0,0,16,docx,4,0,0,137246,0.815,1,0
C:\Users\Ayan Daurenbek\Downloads\53d10173-2a75-44ec-aa5e-64ae87852d51 (1).xlsx,79,4,5,0,0,45,xlsx,4,0,0,19456,0.775,1,0
C:\Users\Ayan Daurenbek\Downloads\53d10173-2a75-44ec-aa5e-64ae87852d51.xlsx,75,4,5,0,0,41,xlsx,4,0,0,19456,0.765,1,0
C:\Users\Ayan Daurenbek\Downloads\591.59-notebook-win10-win11-64bit-international-dch-whql.exe,94,4,5,0,0,60,exe,3,0,1,919506528,0.995,1,1
C:\Users\Ayan Daurenbek\Downloads\6808-Article Text-43629-1-10-20240811.pdf,75,4,5,0,0,41,pdf,3,0,0,1082709,0.81,1,0
